0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x77C030F6C7F5B37D: The Pollak Institute for Esoteric but Correct Thinking \n hereby recognizes \n {0.SimName} \n as having exceptional and notable skills in the area of advanced logical thinking. \n \n Awarded: {DateAndTime}, Witnessing Officer: Mr. J D Pollak	→	The Pollak Institute for Esoteric but Correct Thinking \n hereby recognises \n {0.SimName} \n as having exceptional and notable skills in the area of advanced logical thinking. \n \n Awarded: {DateAndTime}, Witnessing Officer: Mr. J D Pollak
0x77CA141DE6CCE62C: Thought you might be able to use a little pick me up! Please enjoy a little something special from me to you. Of course, I don't give to get, but if a gift showed up in my mailbox, I wouldn't return to sender!	→	Thought you might be able to use a little pick me up! Please enjoy a little something special from me to you. Of course, I don't give to get, but if a gift showed up in my postbox, I wouldn't return to sender!
0x77DD9E968EF22FEE: Don't let your horse get too lonely!  Make sure your horse gets enough social contact, whether it's through socializing with other animals or being cared for by Sims.	→	Don't let your horse get too lonely! Make sure your horse gets enough social contact, whether it's through socialising with other animals or being cared for by Sims.
0x77EA3ACC1AB37052: Order Favorite Meal	→	Order Favourite Meal
0x7819158220D5FE22: Overall GPA: {0.String}	→	Overall marks: {0.String}
0x7828A5D2D8EA3A32: Perform With Symphony at the Theatre.	→	Perform With Symphony at the Cinema.
0x786D6089BE4EBBE5: {2.SimName} just cracked open a good fortune thanks to a lucky cookie. {MA.He}{FA.She}'s going to remember this one, so it better come true!	→	{2.SimName} just cracked open a good fortune thanks to a lucky biscuit. {MA.He}{FA.She}'s going to remember this one, so it better come true!
0x787FC69E112A2048: The tantalizing glow of better television begins  with a Channel Trowler 27'' Deluxe TV. Say toodleloo to basic cable and embrace Basic +, because your evenings are too precious to waste with standard programming.	→	The tantalising glow of better television begins with a Channel Trowler 27'' Deluxe TV. Say toodleloo to basic cable and embrace Basic +, because your evenings are too precious to waste with standard programming.
0x78850FF3B5C82D90: How to dress up that boring old floor? Paints are too slippery, and stickers chip and peel. Try Floor Helper! By weaving together thousands upon thousands of threads, we’ve created this moderately sized fabric square that features a delightful visual pattern. And installation is as simple as dropping it onto the floor!  Floor Helper: glad we could help!	→	How to dress up that boring old floor? Paints are too slippery, and stickers chip and peel. Try Floor Helper! By weaving together thousands upon thousands of threads, we’ve created this moderately sized fabric square that features a delightful visual pattern. And installation is as simple as dropping it onto the floor! Floor Helper: glad we could help!
0x788910FC26EF7DD2: After burning the brisket for last night’s failed dinner party, I can’t stand to use my kitchen anymore.  Could you just replace everything so that I can forget it ever happened?	→	After burning the brisket for last night’s failed dinner party, I can’t stand to use my kitchen anymore. Could you just replace everything so that I can forget it ever happened?
0x78A1DD701EAEFD0A: {0.SimName} needs to ride or lead a horse into the Equestrian Center to sell it.	→	{0.SimName} needs to ride or lead a horse into the Equestrian Centre to sell it.
0x78BEA68F310A3DA5: Your boss wants to ensure the public knows all about the officers patrolling the neighborhood. Take the time to visit three of your neighbors at their homes to get on your boss’ good side and improve your chances for a promotion.	→	Your boss wants to ensure the public knows all about the officers patrolling the neighbourhood. Take the time to visit three of your neighbours at their homes to get on your boss’ good side and improve your chances for a promotion.
0x78C96A8987E0944A: Customize Baby DNA	→	Customise Baby DNA
0x78E6ADE7FC84C249: Gussy up to the bar in style with this saloon-chic barstool. Made from recycled stagecoaches and cavalry saddles, each Parlor Perch offers all the conveniences of modern barroom seating, but without any post-19th century pretense.	→	Freshen up to the pub in style with this saloon-chic barstool. Made from recycled stagecoaches and cavalry saddles, each Parlour Perch offers all the conveniences of modern barroom seating, but without any post-19th century pretense.
0x78F53805802A0E7D: The local consignment store is the perfect place to sell inventions, art, and any odds and ends lying about the house. Your Sim wants to visit the consignment store and put an item up for sale.	→	The local thrift shop is the perfect place to sell inventions, art, and any odds and ends lying about the house. Your Sim wants to visit the thrift shop and put an item up for sale.
0x79233A65036C077B: Tomb Collection - Command Center	→	Tomb Collection - Command Centre
0x794B7F3E4DA91330: The Protest that {0.SimName} organized was a huge success! Sims will receive more Lifetime Happiness from wishes for a little while. 	→	The Protest that {0.SimName} organised was a huge success! Sims will receive more Lifetime Happiness from wishes for a little while. 
0x794D0AE1B725F49B: Grocery Store Clerk	→	Supermarket Clerk
0x794DE092DF1CEBAC: {2.SimName} just teleported! {MA.He}{FA.She}'ll always remember that tingling sensation that rippled through {MA.him}{FA.her} as {MA.he}{FA.she} materialized into a different plane!	→	{2.SimName} just teleported! {MA.He}{FA.She}'ll always remember that tingling sensation that rippled through {MA.him}{FA.her} as {MA.he}{FA.she} materialised into a different plane!
0x7954EAC5DFDBCA5B: Being a Singer is all about singing, and to really succeed, you'll need to be willing to belt it out anywhere.  You'll start off singing for tips on the street and performing Sing-A-Grams for money, but if you show real promise, you'll soon be on your way to sold out gigs and superstardom!	→	Being a Singer is all about singing, and to really succeed, you'll need to be willing to belt it out anywhere. You'll start off singing for tips on the street and performing Sing-A-Grams for money, but if you show real promise, you'll soon be on your way to sold out gigs and superstardom!
0x79921AFCC0F612ED: Hogan’s Deep-Fried Diner	→	Hogan’s Fritter Eatery
0x799BD440A8636568: {0.SimFirstName} needs to wait a little longer before trying to rejoin the Daycare Career. Having a revoked license takes more time.	→	{0.SimFirstName} needs to wait a little longer before trying to rejoin the Nursery Career. Having a revoked license takes more time.
0x799BD440A8636569: {0.SimFirstName} should be ashamed of what {MA.he}{FA.she} put those kids through. Trying to rejoin Daycare will take a little more time after one's license has been revoked.  	→	{0.SimFirstName} should be ashamed of what {MA.he}{FA.she} put those kids through. Trying to rejoin Nursery will take a little more time after one's license has been revoked. 
0x799BD440A863656D: {0.SimName} can't rejoin the daycare career this soon after {MA.his}{FA.her} license has been revoked.	→	{0.SimName} can't rejoin the nursery career this soon after {MA.his}{FA.her} license has been revoked.
0x799BD440A863656E: {0.SimFirstName}'s daycare license has been revoked! How dare {MA.he}{FA.she} try to rejoin so soon. Maybe later.	→	{0.SimFirstName}'s nursery license has been revoked! How dare {MA.he}{FA.she} try to rejoin so soon. Maybe later.
0x79AAFC45E82078E6: As the newest member of this criminal organization, you have been tasked with reading “Dos and Don’ts of the Dons,” a helpful guide to keep you from offending the wrong man or woman. By finishing the book, you will personally guarantee an increase in your job performance and improve your relationship with the Leader.	→	As the newest member of this criminal organization, you have been tasked with reading “Dos and Don’ts of the Dons,” a helpful guide to keep you from offending the wrong lad or bird. By finishing the book, you will personally guarantee an increase in your job performance and improve your relationship with the Leader.
0x79ACA46F90309827: Newtonian Plane Pool Table by Corebital Designs	→	Newtonian Plane Snooker Table by Corebital Designs
0x79ADD47A1C599850: Sims with a Good Sense of Humor tell the best jokes that never fall flat or fail to entertain.	→	Sims with a Good Sense of Humour tell the best jokes that never fall flat or fail to entertain.
0x79B5DD60C0806A15: Export Makeup Color Preset	→	Export Makeup Colour Preset
0x79F1DCD880561B71: Archaeologists theorize that this represents the ancient King Nayr on his wedding day to Queen Nosylla. The hieroglyphs that surround them represent a long and happy life.	→	Archaeologists theorise that this represents the ancient King Nayr on his wedding day to Queen Nosylla. The hieroglyphs that surround them represent a long and happy life.
0x79F2EF556EB8188C: Play Pool by Yourself	→	Play Snooker by Yourself
0x7A0355D082655162: Just like Sims, dogs need to go to the bathroom.  If your dog's bladder meter is low, get them outside quickly to avoid a mess!	→	Just like Sims, dogs need to go to the bathroom. If your dog's bladder meter is low, get them outside quickly to avoid a mess!
0x7A03792C4ECC88E7: You’ve just written the score for the latest blockbuster movie, and the town is clamoring to hear it performed live. Go to the Theatre before the hype wears off and perform the symphony with your ensemble. You’ll receive a percentage of ticket sales, but you’ll need to perform soon!	→	You’ve just written the score for the latest blockbuster movie, and the town is clamoring to hear it performed live. Go to the Cinema before the hype wears off and perform the symphony with your ensemble. You’ll receive a percentage of ticket sales, but you’ll need to perform soon!
0x7A08EDFA2148EA2A: In your snazzy new stage costume, audiences will be caught in the spell of your mesmerizing feats of prestidigitation.	→	In your snazzy new stage costume, audiences will be caught in the spell of your mesmerising feats of prestidigitation.
0x7A09DA719EECE265: {0.SimFirstName} was really put through the wringer today with all of the physical training and extra labor duty. He is exhausted!	→	{0.SimFirstName} was really put through the wringer today with all of the physical training and extra labour duty. He is exhausted!
0x7A1A5FD082784090: Just like Sims, cats need to go to the bathroom.  Hopefully there's a litter box around for when your cat's bladder meter is low!	→	Just like Sims, cats need to go to the bathroom. Hopefully there's a litter box around for when your cat's bladder meter is low!
0x7A21A121E29332AC: Eye Color	→	Eye Colour
0x7A23D0172326540C: I can’t wait to cook in that kitchen!  It’s what I’ve always wanted.	→	I can’t wait to cook in that kitchen! It’s what I’ve always wanted.
0x7A3FE1F8D2A6F659: {0.SimFirstName} may now enter International Racing and Cross-Country competitions at the Equestrian Center (with a qualified rider).	→	{0.SimFirstName} may now enter International Racing and Cross-Country competitions at the Equestrian Centre (with a qualified rider).
0x7A3FE1F8D2A6F65D: {0.SimFirstName} may now enter Advanced Racing and Cross-Country competitions at the Equestrian Center (with a qualified rider).	→	{0.SimFirstName} may now enter Advanced Racing and Cross-Country competitions at the Equestrian Centre (with a qualified rider).
0x7A5385208E82F23D: Pet your Neighbor's Tiger	→	Pet your Neighbour's Tiger
0x7A5ED151C1CBA40B: Fraternity	→	Men's College
0x7A60A33E97F58BFA: Making a mess by splashing around in the tub is way more fun than actually submitting to a bath!  Your cat wants to Play in the Tub.	→	Making a mess by splashing around in the tub is way more fun than actually submitting to a bath! Your cat wants to Play in the Tub.
0x7A82616BAB824AAD: Gain an impressive reputation for selling items at the consignment store.	→	Gain an impressive reputation for selling items at the thrift shop.
0x7A8B4ADA215B9C59: “Challenge Argyle Sinclair” at the Theatre before time runs out to earn some money.	→	“Challenge Argyle Sinclair” at the Cinema before time runs out to earn some money.
0x7AA4EFD1022A84C5: Honored Trendsetter	→	Honoured Trendsetter
0x7AAE644E554B0AC9: Throwing a birthday party for a special Sim is a great way to honor their passage through the stages of life! That was a birthday cake tummyache to remember.	→	Throwing a birthday party for a special Sim is a great way to honour their passage through the stages of life! That was a birthday cake tummyache to remember.
0x7B22A84EFFBCD396: Analyze {0.Number} Space Rocks	→	Analyse {0.Number} Space Rocks
0x7B2972D7557D72E6: Different objects can be used to fertilize plants with varying degrees of effectiveness. In general, effectiveness is determined by the rarity of the fertilizer. For example, rare fish and plants are better than common ones, whereas some special ingredients are the best.	→	Different objects can be used to Fertilise plants with varying degrees of effectiveness. In general, effectiveness is determined by the rarity of the Fertiliser. For example, rare fish and plants are better than common ones, whereas some special ingredients are the best.
0x7B2972D7557D72E7: Sims improve their Gardening Skill by planting and watering plants, or reading gardening books. Developing the skill will allow your Sims to grow rarer produce and use more advanced techniques like "Fertilize" or "Weed."	→	Sims improve their Gardening Skill by planting and watering plants, or reading gardening books. Developing the skill will allow your Sims to grow rarer produce and use more advanced techniques like "Fertilise" or "Weed."
0x7B2C0DA32CFFA843: Yellow Dew has turned {0.SimFirstName} the color of spring sunflowers. Hope {MA.he}{FA.she} doesn't have allergies.	→	Yellow Dew has turned {0.SimFirstName} the colour of spring sunflowers. Hope {MA.he}{FA.she} doesn't have allergies.
0x7B38D89D02A8E397: A fellow actor approached {0.SimFirstName} and asked if {MA.he}{FA.she} would be willing to share more screen time with them. It might impact {0.SimFirstName}'s performance a bit, but it would make {MA.him}{FA.her} more popular with the cast. What should {0.SimFirstName} do?  	→	A fellow actor approached {0.SimFirstName} and asked if {MA.he}{FA.she} would be willing to share more screen time with them. It might impact {0.SimFirstName}'s performance a bit, but it would make {MA.him}{FA.her} more popular with the cast. What should {0.SimFirstName} do? 
0x7B39E76115FA0865: Discovery is the newborn baby of inventing... or so they say in some eccentric circles.  To kindle that creative spark, your Sim would like to discover a new invention using the Inventing WorkBench.  Make sure there's plenty of Scrap to work with.	→	Discovery is the newborn baby of inventing... or so they say in some eccentric circles. To kindle that creative spark, your Sim would like to discover a new invention using the Inventing WorkBench. Make sure there's plenty of Scrap to work with.
0x7B5BDD0710034F91: While cats may enjoy a little alone time, they still need to socialize! Make sure there’s a Sim to meow with or perhaps another furry friend.	→	While cats may enjoy a little alone time, they still need to socialise! Make sure there’s a Sim to meow with or perhaps another furry friend.
0x7B65FF07100BDE57: Don't let your dog get too lonely!  Make sure your dog gets enough social contact, whether it's through socializing with other animals or being cared for by Sims.	→	Don't let your dog get too lonely! Make sure your dog gets enough social contact, whether it's through socialising with other animals or being cared for by Sims.
0x7B6F1FEEE8F605F4: The Flavors of Rocks and Dirt	→	The flavours of Rocks and Dirt
0x7B7B22B56CB80FB9: Your Sim thinks that the raccoon that's been roaming around the lot looks so soft!  Your Sim wants to pet a raccoon.	→	Your Sim thinks that the raccoon that's been roaming around the lot looks so soft! Your Sim wants to pet a raccoon.
0x7B9DD884902338D7: This deep blue grape is a quite Uncommon find out on the vine. Blending it into a Nectar will produce flavors of fruit unlike any other.	→	This deep blue grape is a quite Uncommon find out on the vine. Blending it into a Nectar will produce flavours of fruit unlike any other.
0x7BBE3001417E0D2A: Win a Game of Pool	→	Win a Game of Snooker
0x7BC96B61BA302DD5: Well played!  You scored {0.Number} points!	→	Well played! You scored {0.Number} points!
0x7BF2C9992795D020: Cortes	→	Cortês
0x7BF4B302CF080B11: Sure, your pet has already had breakfast, late breakfast, elevenses, lunch, luncheon, tea, dinner, and supper, but is that ever enough?  Your Pet is starving and wants to Eat Something. Anything!  	→	Sure, your pet has already had breakfast, late breakfast, elevenses, lunch, luncheon, tea, dinner, and supper, but is that ever enough? Your Pet is starving and wants to Eat Something. Anything! 
0x7BF7A8ADE83C3FE4: What's better than getting a gift in the mail? Getting a Supernatural Surprise Gift in the mail! Perhaps this surprise elixir will be just what the doctor ordered!	→	What's better than getting a gift in the post? Getting a Supernatural Surprise Gift in the post! Perhaps this surprise elixir will be just what the doctor ordered!
0x7C1076D1A46D30E8: Change Destination Uber Warp Well Name (Currently: {0.String})	→	Change Destination Über Warp Well Name (Currently: {0.String})
0x7C1E1E0E74CFD2FC: Fertilizer Analyst	→	Fertiliser Analyst
0x7C57767BF03DE0B5: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “Words are sweet, but words can’t kiss. Get over here and let’s discuss our feelings…” Yowza!	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “Words are sweet, but words can’t kiss. Get over here and let’s discuss our feelings…” Yowza!
0x7C57767BF03DE0B8: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “I loved what you had to say in your letter. Maybe you could say it to me again… in person?” Yowza!	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “I loved what you had to say in your letter. Maybe you could say it to me again… in person?” Yowza!
0x7C57767BF03DE0B9: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “Thank you! Now I can finally tell you how special you are to me, {0.SimFirstName}!”	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “Thank you! Now I can finally tell you how special you are to me, {0.SimFirstName}!”
0x7C57767BF03DE0BA: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It’s covered in hearts and little doodles of {1.SimFirstName} and {0.SimFirstName} kissing!	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It’s covered in hearts and little doodles of {1.SimFirstName} and {0.SimFirstName} kissing!
0x7C57767BF03DE0BB: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “Your letter brightened my whole day. You are so important to me – let’s get together soon!”	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “Your letter brightened my whole day. You are so important to me – let’s get together soon!”
0x7C57767BF03DE0BC: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It reads: "Wow, I had no idea... I feel the same way"	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It reads: "Wow, I had no idea... I feel the same way"
0x7C57767BF03DE0BE: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “I’ve been waiting my whole life for a letter like that, {0.SimFirstName}! I share those feelings with you as well."	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “I’ve been waiting my whole life for a letter like that, {0.SimFirstName}! I share those feelings with you as well."
0x7C57767BF03DE0BF: {0.SimFirstName} just got a letter in the mail from {1.SimName}! It says: “This came as a surprise… but a welcome one. Let’s see where this goes!”	→	{0.SimFirstName} just got a letter in the post from {1.SimName}! It says: “This came as a surprise… but a welcome one. Let’s see where this goes!”
0x7C719F293481A1DB: Customize Plumbot for {0.Money}	→	Customise Plumbot for {0.Money}
0x7C872C53928839FC: Not all is lost for Publically Disgraced Sims! You can remove this moodlet by paying a hefty sum to the Paparazzi. Another option is to go to the Business building to "Deflect Scandal" and push the moodlet to another Sim Celebrity. You can also go to City Hall and "Sue For Slander" in an attempt to clear your name. Lastly, you can just talk to other Sims and try to dispel the scandal as a rumor.	→	Not all is lost for Publically Disgraced Sims! You can remove this moodlet by paying a hefty sum to the Paparazzi. Another option is to go to the Business building to "Deflect Scandal" and push the moodlet to another Sim Celebrity. You can also go to City Hall and "Sue For Slander" in an attempt to clear your name. Lastly, you can just talk to other Sims and try to dispel the scandal as a rumour.
0x7C872C53928839FF: Life as a Celebrity is not always glamorous. Once your Sim starts to become famous, any inappropriate  actions they take are scrutinized by the public. If your Sim is caught misbehaving, they will get the "Publicly Disgraced" moodlet that will make them the talk of town. A "Publicly Disgraced" Sim has a harder time getting into clubs and no longer receives any discounts or freebies. The public will react negatively to them and they have a harder time impressing other Celebrities.	→	Life as a Celebrity is not always glamorous. Once your Sim starts to become famous, any inappropriate actions they take are scrutinised by the public. If your Sim is caught misbehaving, they will get the "Publicly Disgraced" moodlet that will make them the talk of town. A "Publicly Disgraced" Sim has a harder time getting into clubs and no longer receives any discounts or freebies. The public will react negatively to them and they have a harder time impressing other Celebrities.
0x7C90E99654F22B4E: Your Sim wants to take a Piano Skill class to learn the skill. Visit the Theatre to enroll in the class.	→	Your Sim wants to take a Piano Skill class to learn the skill. Visit the Cinema to enroll in the class.
0x7CA5E23CDAEE3F19: As vegetables go, the Onion tends to be snarky, yet humorous. It's always layers of fun.	→	As vegetables go, the Onion tends to be snarky, yet humourous. It's always layers of fun.
0x7CE1666D20CE8D3E: {0.SimName} can’t believe the energy {MA.his}{FA.her} beats are producing! {0.SimFirstName}’s amazing Laser Rhythm-a-con skills earned {MA.him}{FA.her} a simple honor: The Lustrous Entertainer.	→	{0.SimName} can’t believe the energy {MA.his}{FA.her} beats are producing! {0.SimFirstName}’s amazing Laser Rhythm-a-con skills earned {MA.him}{FA.her} a simple honour: The Lustrous Entertainer.
0x7CEE17C2E0E06C4E: Visit Sorority with Date	→	Visit Women's College with Date
0x7CF132776BE573F8: Randomize Shape	→	Randomise Shape
0x7D6EAADAA4020F55: (From Gypsy Caravan)	→	(From Fortune Caravan)
0x7D76126208CBAEB1: Improving upon the popular EX edition of the Faux Drainpipe, this sharp looking pipe provides just enough length to reach a smidge over the first floor on those foundation encumbered buildings.  It’s backed by the Drip Drop guarantee: no flowing water or your Simoleons back!	→	Improving upon the popular EX edition of the Faux Drainpipe, this sharp looking pipe provides just enough length to reach a smidge over the first floor on those foundation encumbered buildings. It’s backed by the Drip Drop guarantee: no flowing water or your Simoleons back!
0x7DC019DB39B1283C: Depriving a dog of attention to this point isn't really considered "caring for {MA.him}{FA.her}".  Give {0.SimFirstName} some affection before {MA.he}{FA.she} needs to find a better home.	→	Depriving a dog of attention to this point isn't really considered "caring for {MA.him}{FA.her}". Give {0.SimFirstName} some affection before {MA.he}{FA.she} needs to find a better home.
0x7DC5DF19B25C8F47: Make your box stalls as eco-friendly as possible.  Fertilizer from box stalls used by this horse is always of the highest quality.	→	Make your box stalls as eco-friendly as possible. Fertiliser from box stalls used by this horse is always of the highest quality.
0x7DCA07DB39B95E3E: Depriving a cat of attention to this point isn't really considered "caring for {MA.him}{FA.her}".  Give {0.SimFirstName} some affection before {MA.he}{FA.she} needs to find a better home.	→	Depriving a cat of attention to this point isn't really considered "caring for {MA.him}{FA.her}". Give {0.SimFirstName} some affection before {MA.he}{FA.she} needs to find a better home.
0x7DDA6FBC10A74105: Get Attention from Mom	→	Get Attention from Mum
0x7DE389CB28559A6A: Getting enough sleep can even put dogs in a better mood!  Seriously, just ask {0.SimFirstName}!	→	Getting enough sleep can even put dogs in a better mood! Seriously, just ask {0.SimFirstName}!
0x7DFB83CB286A21C8: Getting enough sleep can even put cats in a better mood!  Seriously, just ask {0.SimFirstName}!	→	Getting enough sleep can even put cats in a better mood! Seriously, just ask {0.SimFirstName}!
0x7E0E9EC526B1CD34: The keg is out and Sims are socializing. For {2.SimName}, it’s officially a kegger party!	→	The keg is out and Sims are socialising. For {2.SimName}, it’s officially a kegger party!
0x7E25B0F20D022205: You shot, you scored! The newspapers are hailing you as the hero of the game, the champion of the city! The team is ecstatic, so much that they cannot stop hoisting you over their shoulders at work. Your job performance just went up, not to mention your stock with the organization.	→	You shot, you scored! The newspapers are hailing you as the hero of the match, the champion of the city! The team is ecstatic, so much that they cannot stop hoisting you over their shoulders at work. Your job performance just went up, not to mention your stock with the organisation.
0x7E32FDAFD6FEC9C6: Soccer Goal	→	Football Goal
0x7E3326D91490B4C9: Your horse will be able to channel its inner strength more efficiently.  With this reward, exercise motives refill much faster.	→	Your horse will be able to channel its inner strength more efficiently. With this reward, exercise motives refill much faster.
0x7E3D9819D0A2F222: Fertilizer	→	Fertiliser
0x7E498236FAEB38C8: See {1.SimFirstName} Get on Honor Roll	→	See {1.SimFirstName} Get on Honour Roll
0x7E5732594B429286: Sweet Potato Fries	→	Sweet Potato Chips
0x7E679CF651FA3C3C: Your next soccer opponent, {0.SimFirstName}, is a member of this household	→	Your next football opponent, {0.SimFirstName}, is a member of this household
0x7E758B177BF56CBA: The Local Organization for Excellence in Tiny Print and Journalism is holding a seminar titled “Jingoism Forever.” Visit {RabbitHoleName} to improve your relationship with co-workers and learn ways to improve your job performance.	→	The Local Organisation for Excellence in Tiny Print and Journalism is holding a seminar titled “Jingoism Forever.” Visit {RabbitHoleName} to improve your relationship with co-workers and learn ways to improve your job performance.
0x7E7A0C22D51D98CD: It's fun to play with others – who knows what will happen! Your Sim hopes to play with someone soon... perhaps a game of Tag!	→	It's fun to play with others – who knows what will happen! Your Sim hopes to play with someone soon... perhaps a match of Tag!
0x7E7ADE27D9922AB1: Such a fine specimen! {0.SimFirstName} has put in long hours of exertion and restraint to become one of the finest athletes in the neighborhood. {0.SimFirstName} should take a jog around the town to show everyone what #1 looks like in action!\n\nCheck the athletic journal for Skill Challenges to refine {0.SimFirstName}’s athletic skills further!	→	Such a fine specimen! {0.SimFirstName} has put in long hours of exertion and restraint to become one of the finest athletes in the neighbourhood. {0.SimFirstName} should take a jog around the town to show everyone what #1 looks like in action!\n\nCheck the athletic journal for Skill Challenges to refine {0.SimFirstName}’s athletic skills further!
0x7E88717B04B142F4: Parlor Perch Barstool	→	Parlour Perch Barstool
0x7E9ABA8D23EED6E4: Sims with a career can customize what they wear to work by using a dresser and mirror. Click on a dresser, and select "Plan Outfit" from the pie menu.	→	Sims with a career can customise what they wear to work by using a dresser and mirror. Click on a dresser, and select "Plan Outfit" from the pie menu.
0x7EA32994853583D9: Although pink diamonds get their color from interstitial impurities or structural defects, their value soars due to their romantic associations.	→	Although pink diamonds get their colour from interstitial impurities or structural defects, their value soars due to their romantic associations.
0x7EB44C932A190CFC: It's always a good time to call upon the neighbors when they're at home.	→	It's always a good time to call upon the neighbours when they're at home.
0x7EC60A4C40F5EF8A: Quality nectar needs time for flavors to develop and a Nectar Cellar is the ideal place for aging. Your Sim wants to have a basement built, then filled with nectar racks in which to age the Nectar!	→	Quality nectar needs time for flavours to develop and a Nectar Cellar is the ideal place for aging. Your Sim wants to have a basement built, then filled with nectar racks in which to age the Nectar!
0x7F0126888BE3388A: Digging up a gem is always exciting, doubly so because then you get to keep them!  Your dog wants to Find a Gem.	→	Digging up a gem is always exciting, doubly so because then you get to keep them! Your dog wants to Find a Gem.
0x7F02E7FBDE36BEA1: Doors are closed for this game.	→	Doors are closed for this match.
0x7F08D17D47D7AF85: Sky blue is a delicate and beautiful color, so {0.SimName} went ahead and slathered on some Light Blue Dew.	→	Sky blue is a delicate and beautiful colour, so {0.SimName} went ahead and slathered on some Light Blue Dew.
0x7F33A916E9EAFB36: Eat Cookie ({0.Number} left)	→	Eat Biscuit ({0.Number} left)
0x7F34A8D6288E52E2: Eyebrow Color	→	Eyebrow Colour
0x7F5E7C63C1354DA4: Greetings {0.SimFirstName}, we're throwing a feast party for the neighborhood and I'm hoping you can come. Bring a guest if you like but more imporantly a big appetite.	→	Greetings {0.SimFirstName}, we're throwing a feast party for the neighbourhood and I'm hoping you can come. Bring a guest if you like but more imporantly a big appetite.
0x7F6448863F80130E: The Theatre really, really, needed your help, but you were nowhere to be found! Try to bounce on time in the future!	→	The Cinema really, really, needed your help, but you were nowhere to be found! Try to bounce on time in the future!
0x7F6CD53AB4134838: “Interview Source” at the Theatre before time runs out to earn a job performance boost.	→	“Interview Source” at the Cinema before time runs out to earn a job performance boost.
0x7F71A7752B9FF75E: Lapis Lazuli is a quite rare stone prized for its deep blue colors. Some say if Horus had blue eyes, they would have been cut from this stone!	→	Lapis Lazuli is a quite rare stone prized for its deep blue colours. Some say if Horus had blue eyes, they would have been cut from this stone!
0x7F7A8E2CCF078FFF: Everyone dreams of being the next idol, of being worshipped by millions of Sims across the world.  But can you work through the years of stress and obscurity to reach the heights of super-stardom?	→	Everyone dreams of being the next idol, of being worshipped by millions of Sims across the world. But can you work through the years of stress and obscurity to reach the heights of super-stardom?
0x7F9471295BA79A23: Your pet thinks your Sim is great… well, great as a chair, at least!  Your pet wants to sit on a Sim's lap.	→	Your pet thinks your Sim is great… well, great as a chair, at least! Your pet wants to sit on a Sim's lap.
0x7FCA1B0412745B61: For the Sim eager to make a statement like “I really like guitars” or “music is my mellow place”, this expensive yet “non-functioning” solid body could be just the thing.  It’s a pretty good “replica” of Tom Audio’s infamous lucky charm instrument that was stolen on the first leg of the DRIR tour.	→	For the Sim eager to make a statement like “I really like guitars” or “music is my mellow place”, this expensive yet “non-functioning” solid body could be just the thing. It’s a pretty good “replica” of Tom Audio’s infamous lucky charm instrument that was stolen on the first leg of the DRIR tour.
0x7FDB5DB38D95B741: The bombardment of whimsy has turned snail shells rainbow colored!	→	The bombardment of whimsy has turned snail shells rainbow coloured!
0x7FE705DC316A0BA2: Politician at last! As the newest City Council Member, you have the unique position of affecting change on the welfare of the city. Change takes time though, and re-elections cost money. You’ll need to start working your neighbors, acquaintances, and random individuals for their campaign donations. Bring your walking shoes, Councilwoman.	→	Politician at last! As the newest City Council Member, you have the unique position of affecting change on the welfare of the city. Change takes time though, and re-elections cost money. You’ll need to start working your neighbours, acquaintances, and random individuals for their campaign donations. Bring your walking shoes, Councilwoman.
0x7FFD7B624BC8DD23: This is Fort Starch Military School. Regretably, we overcharged you {2.Money} for {1.SimFirstName}'s tuition. Please accept this refund so this incident will not stain the honor of our institution.	→	This is Fort Starch Military School. Regretably, we overcharged you {2.Money} for {1.SimFirstName}'s tuition. Please accept this refund so this incident will not stain the honour of our institution.
0x7FFEB5E2CF3B37E7: Your seminar was wildly successful. Reaching a room full of avid and enthusiastic supporters is always quite satisfying, but so is being recognized for your efforts with a job performance increase.	→	Your seminar was wildly successful. Reaching a room full of avid and enthusiastic supporters is always quite satisfying, but so is being recognised for your efforts with a job performance increase.
0x800D8236774C0CA5: It’s hard to stay stressed when there are pineapple-flavored bubbles in the air. Sims can practically feel the sand between their toes!	→	It’s hard to stay stressed when there are pineapple-flavoured bubbles in the air. Sims can practically feel the sand between their toes!
0x80247BB2AC7DA1C3: Customize Plumbot	→	Customise Plumbot
